model,model_full,quality,energy,speed
deepseek_8b_ol_q4km,deepseek-r1:8b,0.20129364963994478,1.9735955056179777,41.08482400461627
gemma_2b_hf_4bit,google--gemma-2b-it:4bit,-0.8998549563688245,1.4364663461538465,22.47433819556996
gemma_2b_hf_8bit,google--gemma-2b-it:8bit,-0.8783522932092064,2.215366568914956,11.690092560850188
gemma_4b_ol_q4km,gemma3:4b,2.181301580008343,1.3921900826446283,40.19933554817276
phi3_4b_hf_4bit,microsoft--phi-3-mini-4k-instruct:4bit,-1.2213098795345725,2.30587786259542,16.93600517129929
phi3_4b_hf_8bit,microsoft--phi-3-mini-4k-instruct:8bit,-1.3243308197426351,2.643333333333333,12.376079309242083
qwen25_3b_hf_4bit,qwen--qwen2.5-3b-instruct:4bit,-0.38543540142818733,1.75040490797546,17.347807577692635
qwen25_3b_hf_8bit,qwen--qwen2.5-3b-instruct:8bit,0.31226538527506387,2.52360736196319,7.261225944404847
qwen25_7b_hf_4bit,qwen--qwen2.5-7b-instruct:4bit,1.3911526419143394,3.4128483353884094,17.634268319199826
qwen25_7b_hf_8bit,qwen--qwen2.5-7b-instruct:8bit,0.6651588469171671,9.72650676506765,3.2977730904960856
qwen_8b_ol_q4km,qwen3:8b,-0.041888753471432116,1.9985416666666669,41.12903225806452
